code,name,level,parent_code
A,"농업, 임업 및 어업",1,
01,농업,2,A
011,작물 재배업,3,01
0111,곡물 및 기타 식량작물 재배업,4,011
01110,곡물 및 기타 식량작물 재배업,5,0111
0112,"채소, 화훼작물 및 종묘 재배업",4,011
01121,채소작물 재배업,5,0112
01122,화훼작물 재배업,5,0112
01123,종자 및 묘목 생산업,5,0112
0113,"과실, 음료용 및 향신용 작물 재배업",4,011
01131,과실작물 재배업,5,0113
01132,음료용 및 향신용 작물 재배업,5,0113
0114,기타 작물 재배업,4,011
01140,기타 작물 재배업,5,0114
0115,시설작물 재배업,4,011
01151,콩나물 재배업,5,0115
01152,"채소, 화훼 및 과실작물 시설 재배업",5,0115
01159,기타 시설작물 재배업,5,0115
012,축산업,3,01
0121,소 사육업,4,012
01211,젖소 사육업,5,0121
01212,육우 사육업,5,0121
0122,양돈업,4,012
01220,양돈업,5,0122
0123,가금류 및 조류 사육업,4,012
01231,양계업,5,0123
01239,기타 가금류 및 조류 사육업,5,0123
0129,기타 축산업,4,012
01291,말 및 양 사육업,5,0129
01299,그 외 기타 축산업,5,0129
013,작물재배 및 축산 복합농업,3,01
0130,작물재배 및 축산 복합농업,4,013
01300,작물재배 및 축산 복합농업,5,0130
014,작물재배 및 축산 관련 서비스업,3,01
0141,작물재배 관련 서비스업,4,014
01411,작물재배 지원 서비스업,5,0141
01412,"농산물 건조, 선별 및 기타 수확 후 서비스업",5,0141
0142,축산 관련 서비스업,4,014
01420,축산 관련 서비스업,5,0142
015,수렵 및 관련 서비스업,3,01
0150,수렵 및 관련 서비스업,4,015
01500,수렵 및 관련 서비스업,5,0150
02,임업,2,A
020,임업,3,02
0201,영림업,4,020
02011,임업용 종묘 생산업,5,0201
02012,육림업,5,0201
0202,벌목업,4,020
02020,벌목업,5,0202
0203,임산물 채취업,4,020
02030,임산물 채취업,5,0203
0204,임업 관련 서비스업,4,020
02040,임업 관련 서비스업,5,0204
03,어업,2,A
031,어로 어업,3,03
0311,해수면 어업,4,031
03111,원양 어업,5,0311
03112,연근해 어업,5,0311
0312,내수면 어업,4,031
03120,내수면 어업,5,0312
032,양식어업 및 어업관련 서비스업,3,03
0321,양식 어업,4,032
03211,해수면 양식 어업,5,0321
03212,내수면 양식 어업,5,0321
03213,수산물 부화 및 수산 종자 생산업,5,0321
0322,어업 관련 서비스업,4,032
03220,어업 관련 서비스업,5,0322
B,광업,1,
05,"석탄, 원유 및 천연가스 광업",2,B
051,석탄 광업,3,05
0510,석탄 광업,4,051
05100,석탄 광업,5,0510
052,원유 및 천연가스 채굴업,3,05
0520,원유 및 천연가스 채굴업,4,052
05200,원유 및 천연가스 채굴업,5,0520
06,금속 광업,2,B
061,철 광업,3,06
0610,철 광업,4,061
06100,철 광업,5,0610
062,비철금속 광업,3,06
0620,비철금속 광업,4,062
06200,비철금속 광업,5,0620
07,비금속광물 광업; 연료용 제외,2,B
071,토사석 광업,3,07
0711,석회석 및 점토 광업,4,071
07110,석회석 및 점토 광업,5,0711
0712,"석재, 쇄석 및 모래, 자갈 채취업",4,071
07121,건설용 석재 채굴 및 쇄석 생산업,5,0712
07122,모래 및 자갈 채취업,5,0712
072,기타 비금속광물 광업,3,07
0721,화학용 및 비료 원료용 광물 광업,4,072
07210,화학용 및 비료 원료용 광물 광업,5,0721
0722,천일염 생산 및 암염 채취업,4,072
07220,천일염 생산 및 암염 채취업,5,0722
0729,그 외 기타 비금속광물 광업,4,072
07290,그 외 기타 비금속광물 광업,5,0729
08,광업 지원 서비스업,2,B
080,광업 지원 서비스업,3,08
0800,광업 지원 서비스업,4,080
08000,광업 지원 서비스업,5,0800
C,제조업,1,
10,식료품 제조업,2,C
101,"도축, 육류 가공 및 저장 처리업",3,10
1011,도축업,4,101
