분류,경로,이름,Q1,Q2,상태,비고,PR,완료일
09-national,09-national/SP-부서-입출력-마스터목록_v1.md,SP-부서-입출력-마스터목록_v1,Y,N,미착수,,,
09-national,09-national/JEJU-NATIONAL-SP_v1.0.md,JEJU-NATIONAL-SP_v1.0,Y,N,미착수,,,
09-national,09-national/jeju-national-agency-catalog.md,jeju-national-agency-catalog,Y,N,미착수,,,
09-national,09-national/NATIONAL-SP-CORE_v1.2.md,NATIONAL-SP-CORE_v1.2,Y,N,미착수,,,
09-national,09-national/NATIONAL-AGENCY-CLASS-INSTANCE-ARCHITECTURE_v1.0.md,NATIONAL-AGENCY-CLASS-INSTANCE-ARCHITECTURE_v1.0,Y,N,미착수,,,
09-national,09-national/technopark/SP-NAT-OTHER-TECHNOPARK-PROTOTYPE_v1.0.md,SP-NAT-OTHER-TECHNOPARK-PROTOTYPE_v1.0,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MOFA_v1.1.md,SP-NAT-POLICY-MOFA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NIS_v1.1.md,SP-NAT-POLICY-NIS_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MOLIT_v1.1.md,SP-NAT-POLICY-MOLIT_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-ASSEMBLY_v1.1.md,SP-NAT-POLICY-ASSEMBLY_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-PIPC_v1.1.md,SP-NAT-POLICY-PIPC_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-OKA_v1.1.md,SP-NAT-POLICY-OKA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NCA_v1.1.md,SP-NAT-POLICY-NCA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-BAI_v1.1.md,SP-NAT-POLICY-BAI_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NAACC_v1.1.md,SP-NAT-POLICY-NAACC_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NDA_v1.1.md,SP-NAT-POLICY-NDA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NABO_v1.1.md,SP-NAT-POLICY-NABO_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-KIPO_v1.1.md,SP-NAT-POLICY-KIPO_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MOE_v1.1.md,SP-NAT-POLICY-MOE_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NFA_v1.1.md,SP-NAT-POLICY-NFA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MOGEF_v1.1.md,SP-NAT-POLICY-MOGEF_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MOEL_v1.1.md,SP-NAT-POLICY-MOEL_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-PRESOFFICE_v1.1.md,SP-NAT-POLICY-PRESOFFICE_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NEC_v1.1.md,SP-NAT-POLICY-NEC_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-COTI_v1.1.md,SP-NAT-POLICY-COTI_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-BMTC_v1.1.md,SP-NAT-POLICY-BMTC_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-RDA_v1.1.md,SP-NAT-POLICY-RDA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-SDIA_v1.1.md,SP-NAT-POLICY-SDIA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-KASA_v1.1.md,SP-NAT-POLICY-KASA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-DAPA_v1.1.md,SP-NAT-POLICY-DAPA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NSC_v1.1.md,SP-NAT-POLICY-NSC_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-FTC_v1.1.md,SP-NAT-POLICY-FTC_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MCST_v1.1.md,SP-NAT-POLICY-MCST_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-KDCA_v1.1.md,SP-NAT-POLICY-KDCA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-JRTI_v1.1.md,SP-NAT-POLICY-JRTI_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-KMA_v1.1.md,SP-NAT-POLICY-KMA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NANET_v1.1.md,SP-NAT-POLICY-NANET_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-PROSECUTION_v1.1.md,SP-NAT-POLICY-PROSECUTION_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NHRCK_v1.1.md,SP-NAT-POLICY-NHRCK_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MMA_v1.1.md,SP-NAT-POLICY-MMA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NSSC_v1.1.md,SP-NAT-POLICY-NSSC_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MOIS_v1.1.md,SP-NAT-POLICY-MOIS_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-ACRC_v1.1.md,국민권익위원회,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-POLICE_v1.1.md,SP-NAT-POLICY-POLICE_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MAFRA_v1.1.md,SP-NAT-POLICY-MAFRA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NAFI_v1.1.md,SP-NAT-POLICY-NAFI_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MFDS_v1.1.md,SP-NAT-POLICY-MFDS_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-CIO_v1.1.md,SP-NAT-POLICY-CIO_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MPM_v1.1.md,SP-NAT-POLICY-MPM_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MPVA_v1.1.md,SP-NAT-POLICY-MPVA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NTS_v1.1.md,SP-NAT-POLICY-NTS_v1.1,Y,N,미착수,,,
